ID,Date,Time,Rating,Day,Neighborhood,Lat,Long,CrimeDetail,CrimeType,Address
90050985,1/5/09,13:16:00,650,Mon,Downtown,-84.38476,33.77119,Larceny-From Vehicle,Larceny,662 W Peachtree St
90050292,1/5/09,6:30:00,311,Mon,Downtown,-84.38492,33.77093,Robbery-Pedestrian,Robbery,607  Peachtree  St  Ne
90060702,1/5/09,20:30:00,512,Tue,Downtown,-84.38863,33.75622,Burglary-Nonres,Burglary,84 Peachtree St Nw
90060570,1/5/09,5:00:00,512,Mon,Downtown,-84.38863,33.75622,Burglary-Nonres,Burglary,84 Peachtree St Nw
90051723,1/5/09,13:00:00,650,Mon,Downtown,-84.38902,33.76226,Larceny-From Vehicle,Larceny,Spring St Nw / Baker St Nw
90071651,1/5/09,6:53:00,512,Unk,Downtown,-84.38982,33.75681,Burglary-Nonres,Burglary,79 Poplar St Nw
90050225,1/5/09,4:38:00,512,Mon,Downtown,-84.39038,33.75824,Burglary-Nonres,Burglary,123 Luckie St Nw
90050972,1/5/09,13:30:00,690,Mon,Downtown,-84.39128,33.75317,Larceny-Non Vehicle,Larceny,50 Alabama St
90071126,1/5/09,18:00:00,640,Tue,Downtown,-84.39504,33.75711,Larceny-From Vehicle,Larceny,100 Centennial Olympic P Dr Nw @Zone 5
90050229,1/5/09,4:30:00,690,Mon,Downtown,-84.39636,33.74852,Larceny-Non Vehicle,Larceny,232 Forsyth St Sw
90050084,1/5/09,0:45:00,341,Mon,Downtown,-84.39636,33.74852,Robbery-Pedestrian,Robbery,232 Forsyth St Sw @Greyhound Bus Depot
90060401,1/5/09,19:30:00,720,Tue,Downtown,-84.39661,33.7679,Auto Theft,Auto Theft,285 Pine St Nw
90060347,1/6/09,0:30:00,640,Tue,Downtown,-84.37984,33.75279,Larceny-From Vehicle,Larceny,Bell St Se / Pratt St Se
90061199,1/6/09,15:00:00,670,Tue,Downtown,-84.38198,33.75168,Larceny-Non Vehicle,Larceny,80 Jesse Hill Jr Dr Se
