offense_id,occur_date,occur_time,MinOfucr,Shift,Avg Day,UC2 Literal,neighborhood,x,y
90521556,2/19/09,18:00:00,710,Unk,Unk,AUTO THEFT,Home Park,-84.41167,33.78257
90521866,2/21/09,22:59:00,511,Eve,Sat,BURGLARY-RESIDENCE,Home Park,-84.40588,33.78225
90530543,2/22/09,8:00:00,670,Day,Sun,LARCENY-NON VEHICLE,Home Park,-84.40344,33.78852
90530598,2/22/09,9:20:00,512,Day,Sun,BURGLARY-NONRES,Home Park,-84.40757,33.78347
90530719,2/21/09,11:00:00,650,Unk,Sat,LARCENY-FROM VEHICLE,Home Park,-84.4119,33.78345
90551166,2/24/09,14:00:00,640,Day,Tue,LARCENY-FROM VEHICLE,Home Park,-84.41168,33.783
90560408,2/24/09,16:30:00,640,Morn,Tue,LARCENY-FROM VEHICLE,Home Park,-84.4089,33.78624
90560964,2/20/09,18:30:00,620,Eve,Fri,LARCENY-NON VEHICLE,Home Park,-84.39246,33.78344
90570838,2/26/09,11:30:00,660,Day,Thu,LARCENY-NON VEHICLE,Home Park,-84.40709,33.78246
90571848,2/26/09,19:40:00,311,Eve,Thu,ROBBERY-PEDESTRIAN,Home Park,-84.40906,33.78031
90590252,2/28/09,3:00:00,512,Morn,Sat,BURGLARY-NONRES,Home Park,-84.41167,33.78257
90590442,2/27/09,22:00:00,512,Morn,Sat,BURGLARY-NONRES,Home Park,-84.40932,33.78132
90611454,3/2/09,16:45:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Home Park,-84.39273,33.7855
90631567,3/4/09,18:15:00,640,Eve,Wed,LARCENY-FROM VEHICLE,Home Park,-84.40974,33.78332
90671137,3/8/09,16:00:00,690,Eve,Sun,LARCENY-NON VEHICLE,Home Park,-84.40859,33.78463
90690404,3/10/09,1:00:00,640,Morn,Tue,LARCENY-FROM VEHICLE,Home Park,-84.4107,33.78116
90690804,3/10/09,7:50:00,670,Day,Tue,LARCENY-NON VEHICLE,Home Park,-84.41069,33.78062
90691401,3/10/09,10:45:00,650,Day,Tue,LARCENY-FROM VEHICLE,Home Park,-84.41049,33.78309
90700139,3/11/09,1:15:00,690,Morn,Wed,LARCENY-NON VEHICLE,Home Park,-84.40707,33.78578
90740582,3/15/09,1:00:00,640,Morn,Sun,LARCENY-FROM VEHICLE,Home Park,-84.40387,33.7883
90750068,3/16/09,0:59:00,311,Morn,Mon,ROBBERY-PEDESTRIAN,Home Park,-84.39633,33.78175
90781550,3/19/09,13:30:00,660,Eve,Thu,LARCENY-NON VEHICLE,Home Park,-84.40906,33.78031
