offense_id,occur_date,occur_time,MinOfucr,Shift,Avg Day,UC2 Literal,neighborhood,x,y
90091055,1/9/09,13:00:00,640,Day,Fri,LARCENY-FROM VEHICLE,Midtown,-84.38781,33.78667
90091145,1/9/09,12:30:00,511,Day,Fri,BURGLARY-RESIDENCE,Midtown,-84.38075,33.7758
90091381,1/9/09,2:00:00,640,Day,Fri,LARCENY-FROM VEHICLE,Midtown,-84.37371,33.77693
90091819,1/9/09,8:30:00,720,Day,Fri,AUTO THEFT,Midtown,-84.38723,33.773
90100844,1/10/09,10:00:00,640,Day,Sat,LARCENY-FROM VEHICLE,Midtown,-84.38609,33.79356
90100984,1/8/09,20:00:00,690,Unk,Unk,LARCENY-NON VEHICLE,Midtown,-84.38061,33.78084
90101281,1/10/09,16:15:00,630,Eve,Sat,LARCENY-NON VEHICLE,Midtown,-84.38752,33.7805
90101412,1/10/09,17:00:00,640,Eve,Sat,LARCENY-FROM VEHICLE,Midtown,-84.36722,33.77376
90101981,1/10/09,19:00:00,650,Eve,Sat,LARCENY-FROM VEHICLE,Midtown,-84.37937,33.78371
90110727,1/9/09,18:00:00,730,Unk,Unk,AUTO THEFT,Midtown,-84.38459,33.77659
90120691,1/11/09,21:00:00,640,Morn,Mon,LARCENY-FROM VEHICLE,Midtown,-84.37945,33.77975
90120763,1/5/09,16:00:00,690,Unk,Unk,LARCENY-NON VEHICLE,Midtown,-84.38925,33.78668
90120765,1/10/09,17:00:00,670,Eve,Sat,LARCENY-NON VEHICLE,Midtown,-84.38537,33.77785
90121128,1/12/09,6:45:00,640,Day,Mon,LARCENY-FROM VEHICLE,Midtown,-84.3879,33.78837
90121993,1/12/09,20:30:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Midtown,-84.3676,33.77973
90130511,1/12/09,15:30:00,640,Unk,Tue,LARCENY-FROM VEHICLE,Midtown,-84.38382,33.77248
90131173,1/12/09,14:00:00,640,Unk,Tue,LARCENY-FROM VEHICLE,Midtown,-84.37238,33.7785
90131340,12/23/08,17:00:00,650,Unk,Unk,LARCENY-FROM VEHICLE,Midtown,-84.38752,33.7805
90131890,1/13/09,19:00:00,640,Eve,Tue,LARCENY-FROM VEHICLE,Midtown,-84.37897,33.78384
90131967,1/13/09,20:30:00,720,Eve,Tue,AUTO THEFT,Midtown,-84.38497,33.7727
90132103,1/13/09,20:00:00,640,Eve,Tue,LARCENY-FROM VEHICLE,Midtown,-84.38139,33.78663
90140199,1/13/09,22:00:00,640,Morn,Wed,LARCENY-FROM VEHICLE,Midtown,-84.37924,33.77362
90140219,1/14/09,5:20:00,620,Morn,Wed,LARCENY-NON VEHICLE,Midtown,-84.38744,33.78642
90141795,1/14/09,18:45:00,640,Eve,Wed,LARCENY-FROM VEHICLE,Midtown,-84.37869,33.77206
90141873,1/14/09,20:15:00,630,Eve,Wed,LARCENY-NON VEHICLE,Midtown,-84.38032,33.78188
90150398,1/15/09,0:00:00,511,Morn,Thu,BURGLARY-RESIDENCE,Midtown,-84.37965,33.77569
90151076,1/15/09,11:00:00,640,Day,Thu,LARCENY-FROM VEHICLE,Midtown,-84.38022,33.78202
