ID,Date,Time,Rating,Day,Neighborhood,Lat,Long,CrimeDetail,CrimeType,Address
90081083,1/8/09,11:00:00,640,Thu,Midtown,-84.38497,33.7727,Larceny-From Vehicle,Larceny,33  Ponce De Leon  Ave  Ne
90091381,1/9/09,2:00:00,640,Fri,Midtown,-84.37371,33.77693,Larceny-From Vehicle,Larceny,822 Mentelle Dr Ne
90091145,1/9/09,12:30:00,511,Fri,Midtown,-84.38075,33.7758,Burglary-Residence,Burglary,201 5Th St Ne
90110727,1/9/09,18:00:00,730,Unk,Midtown,-84.38459,33.77659,Auto Theft,Auto Theft,800 Peachtree St Ne
90091819,1/9/09,8:30:00,720,Fri,Midtown,-84.38723,33.773,Auto Theft,Auto Theft,662 W Peachtree St Ne
90091055,1/9/09,13:00:00,640,Fri,Midtown,-84.38781,33.78667,Larceny-From Vehicle,Larceny,14Th St Ne / W Peachtree St Nw
90101412,1/10/09,17:00:00,640,Sat,Midtown,-84.36722,33.77376,Larceny-From Vehicle,Larceny,600 Ponce De Leon
90101981,1/10/09,19:00:00,650,Sat,Midtown,-84.37937,33.78371,Larceny-From Vehicle,Larceny,1066 Piedmont Ave Ne
90120765,1/10/09,17:00:00,670,Sat,Midtown,-84.38537,33.77785,Larceny-Non Vehicle,Larceny,848 Peachtree St Ne
90100844,1/10/09,10:00:00,640,Sat,Midtown,-84.38609,33.79356,Larceny-From Vehicle,Larceny,1409 Peachtree St Ne
90101281,1/10/09,16:15:00,630,Sat,Midtown,-84.38752,33.7805,Larceny-Non Vehicle,Larceny,950 W Peachtree St Nw
90120691,1/11/09,21:00:00,640,Mon,Midtown,-84.37945,33.77975,Larceny-From Vehicle,Larceny,921 Myrtle St Ne
90331491,1/11/09,22:00:00,640,Mon,Midtown,-84.38169,33.77346,Larceny-From Vehicle,Larceny,3Rd St Ne / Piedmont Ave Ne
90210460,1/11/09,20:00:00,650,Mon,Midtown,-84.38246,33.78083,Larceny-From Vehicle,Larceny,955 Juniper St Ne
90121993,1/12/09,20:30:00,640,Mon,Midtown,-84.3676,33.77973,Larceny-From Vehicle,Larceny,931 Monroe Dr Ne
90131173,1/12/09,14:00:00,640,Tue,Midtown,-84.37238,33.7785,Larceny-From Vehicle,Larceny,873 Charles Allen Dr Ne
90261427,1/12/09,17:00:00,690,Tue,Midtown,-84.38035,33.78508,Larceny-Non Vehicle,Larceny,211 13Th St Ne
